sbjnum;date;upm1a;a4;soct2;idio2;np1;cp4a;cp6;cp7;cp8;cp13;colcp8a;colcp8b;colcp8c;it1;l1;prot3;jc10;jc13;jc15a;jc16a;vic1ext;aoj1;aoj21;aoj11;aoj12;colaoj21a;colaoj21b;wc1;wc1t;wc3;wc3t;wc2;wc2t;colwc8;colwc8t;colwc9;colwc9t;colwc4a;colwc4b;colwc4d;colwc4e;colwc4g;colwc4c;colwc4f;colwc4_88;colwc4_98;collt5;collt6;colpaz1a;colpaz6a;colpaz6c;b0;b1;b2;b3;b4;b6;b10a;b12;b13;b18;colb60n;b21;b21a;b31;b32;b37;b47a;b50;b20;b33;b17;colb61;b3polx;b20b;b15;colb67;b3milx;colpropaz1b;colrecon19b;colrecon19c;colrecon20b;colrecon20c;colpropaz1cn;colvb27a;colvb27b;colvb27c;colvb27d;colvb27e;colvb27f;colvb27g;colvb27h;m1;sd2new2;sd2expec;sd3new2;sd3expec;sd6new2;sd6expec;colsd8new2;infrax;ros1;ros4;redist1;redist2;redist3;ing4;eff1;eff2;pn4;colpropaz13c;colpropaz13j;colpact16a;colpropaz13k;colpropaz13m;colpact16b;colpact20;colpact11;colpact1;colpact17a;colpact18a;colpact10;colpact19;colpact17b;colpact18b;colind1a;colcamp1a;colafro1a;colwom2a;coldvw4;coldvw5;coldvw6;coldvw7;colprotmuj2;coldvw9;coldvw10;coldvw11_1;coldvw11_2;coldvw11_3;coldvw11_4;coldvw11_5;coldvw11_6;coldvw11_7;coldvw11_88;coldvw11_98;d1;d2;d3;d4;d5;d6;colespa2a;colideol4b;colideol4c;colideol4d;colideol4g;colrecon6;colrecon18;colrecon7n;coldis35f;exc2;exc6;exc11a;exc11;exc13a;exc13;exc14a;exc14;exc15a;exc15;exc16a;exc16;exc18;exc7;exc7new;inf1;vb2;vb3n;vb2v;vb3n2;vb10;vb11;pol1;vb20;clien1na;vb50;vb51;vb52;vb58;w14a;mil10a;mil10e;dis13n;dis12n;coldis18n;dis11n;dis12xn;coldis17n;coldislugar;wf1;cct1b;ed;q3cn;q5b;colocup4a;ocupoit;ocup1a;formal;q10g;q10new;q14;q10e;q11n;q12c;q12bn;q12;etid;gi0n;www1n;smedia1;smedia2;smedia3;smedia4;smedia5;smedia6;smedia7;smedia8;smedia9;gi1;gix4;gi4;colgi8;r3;r4;r4a;r5;r6;r7;r8;r12;r14;r15;r18;r1;r16;formatq;colorr;conocim;iarea1;iarea2;iarea3;sexi;colori;colestsoc_col;q1;q2;country;estratopri;municipio;prov_code;upm;ur;year;municipio_desc;estratosec;tamano;q_38;q_54;q_58;q_67;q_86;q_110;q_125;q_162;q_197;q_208;q_221;q_227;q_271;q_316;q_320;aoj21_answer_order;colaoj21a_answer_order;colaoj21b_answer_order;b20b_b15_colb67_order;colvb27_questions_order;redist_questions_order;colpropaz13c_j_order;colpropaz13k_m_order;s_236_7;duration;wt
73448638;10-Sep-18;42;3;3;3;1;1;2;4;4;4;4;.c;.c;2;10;2;.c;.b;1;.c;1;1;10;2;3;.c;9;1;2;1;2;1;2;2;.c;2;.c;1;1;2;2;2;2;2;2;2;1;2;1;.c;1;6;3;7;3;5;7;3;4;4;4;2;5;5;4;3;3;2;5;5;4;2;2;2;.c;.c;.c;.c;3;2;5;.c;.c;3;1;1;1;1;1;1;1;1;3;3;.c;2;3;4;.c;3;2;3;4;7;3;1;4;4;4;3;.c;.c;.c;2;3;2;2;.c;.c;.c;.c;5;4;3;2;3;3;.c;3;.c;.c;.c;4;2;2;3;0;0;1;1;0;0;0;0;0;6;6;5;5;5;5;5;5;4;4;5;4;5;5;0;0;0;0;.c;1;0;0;.c;0;.c;0;.c;0;.c;4;1;2;.c;1;801;2;.c;3;1;2;2;3;3;2;1;.c;2;2;2;2;.c;.c;.c;.c;2;2;11;2;2;2;5;4;2;8;.a;2;3;1;6;0;0;1;2;2;1;2;2;2;.c;.c;1;2;2;2;1;1;8;1;0;1;0;1;0;0;1;1;1;1;1;0;4;5;3;3;4;4;2;4;2;1;28;8;813;805001;5;500125;1;2018;25;1;3;1;2;1;2;2;1;1;1;2;2;1;2;2;2;1;1539;.c;275;.c;232;2;.c;2;1;1011;0,800000012
73449507;10-Sep-18;42;3;2;2;2;2;1;4;4;3;4;.c;.c;3;8;1;.c;2;2;.c;2;.c;9;3;3;.c;2;1;2;2;.c;1;2;2;.c;1;2;2;2;2;2;2;2;1;2;2;1;2;.a;.c;2;6;3;6;6;4;.b;4;4;3;4;1;3;4;2;5;4;3;3;.c;.c;.c;.c;.c;7;4;4;5;4;.c;.c;4;6;5;4;4;4;3;4;4;3;4;3;2;.c;2;.c;3;3;3;2;.b;5;6;.b;3;4;5;4;3;4;4;4;.c;.c;.c;.b;4;3;2;3;.c;.c;.c;.c;.c;.c;.b;5;6;6;3;.c;.c;.c;4;0;0;0;1;0;0;1;0;0;8;10;.b;8;6;.b;6;3;1;.b;4;10;10;10;0;0;0;1;0;0;.c;1;0;1;0;1;0;0;.b;.c;1;2;.c;2;.c;1;877;3;.a;2;3;3;3;2;.b;.a;.c;1;2;1;.c;.c;.c;3;1;1;9;5;2;6;.c;.c;.c;1;.a;2;2;2;11;3;2;2;1;1;1;2;2;2;.c;.c;1;1;3;1;.a;1;.a;1;0;1;0;1;0;1;1;1;1;1;1;0;4;5;4;2;4;2;1;3;1;1;34;8;813;805001;5;500125;1;2018;25;1;3;1;2;1;2;2;2;2;2;1;1;2;1;1;1;1;354;.c;8;1;1083;5;2;.c;14;1146;1
73450003;10-Sep-18;42;3;3;2;2;1;1;4;3;4;.c;4;4;3;8;2;2;.c;2;.c;2;.c;10;1;3;.c;3;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;2;.c;6;2;1;1;3;1;1;4;4;5;1;2;7;4;6;4;3;4;.c;.c;.c;.c;.c;5;3;4;3;1;.c;.c;2;6;6;3;7;2;2;6;1;1;2;2;2;2;2;.c;1;.c;2;2;6;7;7;4;5;7;6;5;3;.c;.c;.c;5;4;1;6;.c;.c;.c;.c;7;7;5;4;.c;.c;5;2;5;4;5;.c;.c;.c;1;0;0;0;0;0;0;1;0;0;5;8;4;7;2;1;1;1;3;4;6;6;3;5;0;0;0;0;.c;0;.c;0;.c;0;.c;0;.c;0;.c;4;1;1;801;1;801;2;.c;3;2;2;3;1;2;3;2;.c;1;2;2;2;.c;.c;.c;.c;2;1;9;1;1;7;.c;.c;.c;12;1;2;2;3;4;0;2;4;1;5;2;.c;.c;2;.c;.c;2;.c;.c;1;1;1;20;1;1;1;0;1;0;0;1;1;0;0;1;0;4;7;1;2;4;3;1;4;1;1;66;8;813;805001;5;500125;1;2018;25;1;3;2;1;1;2;1;2;2;3;2;2;2;1;2;2;1;1043;.c;126;6;732;2;.c;2;147;1157;1
73452245;10-Sep-18;42;3;2;2;2;2;4;3;4;4;4;.c;.c;3;5;2;.c;2;.c;2;2;.c;2;3;3;.c;.a;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;2;.c;5;4;4;3;4;4;4;2;4;4;3;4;3;4;4;5;4;4;.c;.c;.c;.c;.c;6;4;4;4;1;.c;.c;5;5;4;1;1;1;1;1;1;4;1;3;2;.c;2;2;2;.c;2;3;4;7;7;5;4;4;4;6;2;.c;.c;.c;4;5;4;4;.c;.c;.c;.c;5;5;7;7;4;5;.c;4;3;4;2;.c;.c;.c;3;0;0;1;1;0;0;0;0;0;5;5;5;5;7;1;1;5;5;1;5;5;5;5;0;0;0;0;.c;1;0;0;.c;1;0;1;0;0;.c;4;1;1;803;1;802;2;.c;3;3;2;3;3;3;2;1;.a;.c;.c;.c;.c;2;2;2;.c;2;2;11;1;3;1;5;1;1;6;12;2;2;3;4;2;2;2;2;1;1;1;3;2;.c;.c;1;1;5;.a;.a;1;.a;1;1;1;0;1;0;1;1;1;0;1;1;1;4;3;2;2;2;2;1;5;2;2;31;8;813;805001;5;500125;1;2018;25;1;3;1;2;2;2;1;2;2;1;2;2;1;1;2;1;2;208;.c;552;5;481;2;.c;2;1;856;1
73455463;10-Sep-18;42;57;3;3;1;1;1;4;1;2;.c;3;2;3;6;2;.c;2;.c;2;2;.c;2;3;2;3;.c;1;2;1;2;1;1;2;.c;2;.c;2;2;2;2;2;2;1;2;2;2;.c;1;.c;.a;4;6;7;7;5;6;4;5;4;5;2;4;.a;4;5;5;4;4;.c;.c;.c;.c;.c;6;5;4;3;5;.c;.c;5;6;6;4;5;5;3;6;4;4;4;2;2;.c;2;.c;3;3;2;4;4;4;3;3;6;3;4;4;3;.c;.c;.c;4;3;4;5;.c;.c;.c;.c;4;4;2;4;.c;.c;3;5;.c;.c;.c;5;6;5;1;0;0;0;0;1;0;1;0;0;6;5;7;6;2;2;4;1;1;1;2;2;3;4;0;0;0;0;.c;1;0;0;.c;1;0;0;.c;0;1;.c;1;1;.a;1;.a;1;.b;1;4;2;4;3;3;2;1;4;.c;.c;.c;.c;2;2;2;.c;1;2;11;5;1;2;5;4;2;2;.a;2;2;6;1;0;1;2;1;1;1;1;2;2;.c;.c;1;1;3;.a;.a;.a;5;1;0;1;0;0;0;0;1;1;0;0;1;0;4;4;2;1;2;2;1;5;1;2;46;8;813;805001;5;500125;1;2018;25;1;3;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;388;683;.c;5;945;6;.c;2;779;703;1
73455490;10-Sep-18;42;13;2;1;2;2;1;4;4;4;.c;4;4;3;4;2;.c;2;2;.c;2;.c;4;2;4;.c;2;2;.c;2;.c;2;.c;2;.c;1;2;2;2;2;2;2;2;2;1;2;2;.c;2;.c;2;5;2;3;4;6;4;5;1;4;5;1;2;6;5;4;3;1;3;.c;.c;.c;.c;.c;2;7;4;1;3;.c;.c;4;3;4;1;1;1;1;1;3;2;1;2;2;.c;2;1;2;.c;2;2;3;4;5;1;4;1;3;1;2;.c;.c;.c;4;5;2;5;4;1;1;4;.c;.c;.c;.c;.c;.c;3;1;.c;.c;.c;4;7;1;6;0;0;0;0;0;0;0;1;0;4;4;1;2;1;1;2;1;4;5;1;1;3;5;1;0;0;0;.c;0;.c;0;.c;0;.c;0;.c;0;4;.c;1;2;.c;2;.c;2;.c;3;4;2;2;3;1;2;2;.a;.c;.c;.c;.c;2;2;2;.c;2;1;10;2;1;5;.c;.c;.c;.c;4;2;2;3;6;2;0;5;4;3;1;3;5;2;.c;.c;2;.c;.c;1;.a;.a;.a;1;0;1;0;1;0;0;1;0;0;0;1;0;4;5;3;2;3;4;1;1;1;2;60;8;813;805001;5;500125;1;2018;25;1;3;2;2;1;2;2;2;2;1;2;1;2;2;1;1;2;972;.c;285;1;235;3;.c;2;1;1047;1
73502542;11-Sep-18;19;5;3;3;2;2;4;1;4;4;4;.c;.c;2;.a;2;.c;2;2;.c;2;.c;9;4;4;3;.c;2;.c;2;.c;2;.c;2;.c;1;2;1;2;2;2;2;2;2;2;2;2;.c;1;2;.c;7;4;5;5;4;5;3;1;3;1;1;3;5;3;2;4;3;5;.c;.c;.c;.c;.c;1;5;1;1;7;1;7;.c;.c;7;2;1;3;1;2;1;3;1;3;4;2;1;.c;3;.c;4;4;4;7;7;1;5;3;5;1;4;7;7;7;.c;.c;.c;3;4;1;1;7;.c;.c;.c;.c;.c;.c;7;1;.c;.c;.c;1;7;3;3;0;0;1;1;0;0;0;0;0;9;10;8;6;5;1;1;8;10;10;1;1;1;1;1;1;0;0;.c;1;0;0;.c;1;0;1;0;0;4;.c;1;2;.c;2;.c;2;.c;4;4;2;3;1;2;1;2;.c;3;2;2;2;.c;.c;.c;.c;2;2;11;1;1;2;5;4;2;7;11;1;2;3;4;1;1;3;2;1;1;1;5;2;.c;.c;2;.c;.c;.a;.a;2;40;1;1;1;0;1;0;1;1;1;1;1;1;1;4;5;4;2;2;4;2;2;2;2;29;8;815;876001;76;7600130;1;2018;233;1;3;1;2;1;1;1;2;1;3;1;1;2;2;1;2;1;1584;709;.c;5;1339;2;2;.c;1;723;0,800000012
73503100;11-Sep-18;19;70;3;3;2;2;1;4;4;4;4;.c;.c;1;7;2;.c;2;2;.c;2;.c;2;1;3;.c;3;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;2;.c;4;5;4;5;6;6;5;4;3;6;3;2;5;4;6;7;5;4;.c;.c;.c;.c;.c;7;6;3;5;5;6;6;.c;.c;5;5;6;3;5;4;4;3;5;2;3;.c;2;.c;3;3;2;2;5;6;7;4;5;4;5;5;2;.c;.c;.c;4;5;5;6;7;5;4;5;.c;.c;.c;.c;5;6;.c;6;.c;.c;.c;4;3;3;2;0;0;0;0;0;0;1;0;0;6;4;5;6;3;2;5;2;4;3;2;1;5;4;0;0;0;0;.c;0;.c;0;.c;1;0;0;.c;1;3;.c;1;1;801;1;801;2;.c;3;1;2;3;3;2;1;2;3;.c;.c;.c;.c;2;2;2;.c;1;2;3;5;1;5;.c;.c;.c;.c;2;2;3;3;3;0;5;.a;1;5;2;.c;.c;2;.c;.c;2;.c;.c;1;.a;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;4;4;3;1;2;1;2;3;2;2;73;8;815;876001;76;7600130;1;2018;233;1;3;1;2;1;2;1;2;1;2;2;1;1;2;1;1;2;77;.c;703;4;1388;2;.c;2;733;897;0,800000012
73503206;11-Sep-18;19;13;3;1;2;2;2;2;4;4;.c;4;4;2;4;1;.c;2;2;.c;1;1;6;2;4;.c;3;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;.c;1;4;2;3;1;1;3;1;4;1;3;1;1;1;1;1;1;1;1;1;3;2;1;3;.c;.c;.c;.c;4;.c;.c;1;3;4;1;1;1;1;1;1;4;4;4;4;3;4;.c;4;.c;2;3;4;5;5;2;7;7;1;5;4;.c;.c;.c;3;5;2;5;7;4;1;1;.c;.c;.c;.c;.c;.c;4;7;.c;.c;.c;4;1;4;1;0;0;0;1;0;0;1;0;0;3;10;6;10;10;10;1;10;7;6;8;10;10;10;0;0;0;0;.c;1;0;0;.c;0;.c;1;0;1;1;.c;1;1;803;1;802;2;.c;2;3;2;4;3;3;3;1;.c;2;1;2;2;.c;.c;.c;4;2;2;11;1;1;1;4;2;1;.b;.b;2;1;3;4;2;1;2;1;1;1;2;2;1;2;2;1;1;2;1;1;1;.a;1;0;1;0;1;0;1;1;1;1;1;1;0;4;5;2;1;1;2;2;8;2;1;40;8;815;876001;76;7600130;1;2018;233;1;3;2;2;1;2;2;1;2;3;2;1;2;2;1;2;1;865;.c;550;.c;542;4;.c;1;354;1099;0,800000012
73504435;11-Sep-18;9;70;3;2;2;2;1;4;4;4;.c;4;4;2;6;2;.c;2;1;.c;2;.c;6;3;3;.c;1;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;2;1;.c;5;4;6;2;4;4;3;4;3;5;2;3;5;4;4;2;2;4;.c;.c;.c;.c;.c;2;5;4;5;5;.c;.c;6;6;5;4;5;5;.a;5;3;.a;.a;2;3;.c;2;3;3;.c;2;.a;3;6;7;6;4;5;6;5;3;.c;.c;.c;4;3;4;6;2;1;2;6;.c;.c;.c;.c;.c;.c;5;5;.c;.c;.c;5;6;2;1;0;0;0;0;0;0;1;0;0;8;9;5;5;5;2;4;2;2;2;5;5;5;5;0;0;0;0;.c;0;.c;0;.c;1;0;0;.c;1;1;.c;1;2;.c;2;.c;2;.c;2;4;2;3;3;3;1;.a;.a;.c;.c;.c;.c;2;2;2;.c;2;1;11;1;1;5;.c;.c;.c;.c;.a;2;2;3;2;0;0;2;1;1;1;3;5;2;.c;.c;1;2;5;1;.a;1;.a;1;0;1;1;1;0;0;1;1;0;0;1;0;4;3;2;2;1;1;2;3;2;2;39;8;812;811001;11;1100116;1;2018;68;1;2;2;2;1;2;1;2;2;1;2;1;2;2;1;1;2;1216;.c;861;5;1026;6;.c;2;375;1016;0,800000012
